,Grade,Gender,Business School vs Arts&Science,How many hours do you study per week?,Held position,Semester GPA BEFORE holding one of your leadership positions,Semester GPA AFTER holding that same leadership position,"On a 1-5 scale, how successful did your leadership position make you feel as a student after holding your position?",Do you think you have a better chance at an internship/job if you have a leadership position on your resume?,Current Cumulative GPA,Did you feel successful at Bryant without a leadership position?,Do you think you have a better chance at an internship/job if you have a leadership position on your resume?2,Leaders,Target
22,1,2,2,7-9,1,3.91,3.91,5.0,1,,,,Leader,Both
23,1,2,1,7-9,1,3.9,3.9,3.0,1,,,,Leader,Both
24,2,2,3,4-6,1,3.2,3.2,4.0,1,,,,Leader,Job or Internship
25,1,1,1,4-6,1,3.3,3.65,3.0,0,,,,Leader,Both
26,2,1,3,10+,1,3.98,3.98,5.0,1,,,,Leader,Job or Internship
27,1,2,2,1-3,0,,,,0,3.6,1.0,1.0,Non-Leader,Job or Internship
28,1,2,2,7-9,1,3.9,3.8,5.0,1,,,,Leader,Job or Internship
29,1,2,1,1-3,1,3.8,3.83,4.0,1,,,,Leader,Both
30,1,1,1,1-3,1,3.4,3.5,5.0,1,,,,Leader,Both
31,1,2,1,7-9,0,,,,0,3.2,1.0,0.0,Non-Leader,Both
32,1,1,1,7-9,1,3.3,3.4,4.0,1,,,,Leader,Both
33,1,2,3,1-3,1,3.7,3.8,5.0,1,,,,Leader,Job or Internship
34,1,1,2,1-3,1,3.33,3.39,5.0,1,,,,Leader,Job or Internship
35,1,2,2,4-6,1,3.6,3.4,3.0,1,,,,Leader,Both
36,2,2,1,4-6,1,2.9,3.45,5.0,1,,,,Leader,Job or Internship
37,2,1,1,1-3,0,,,,0,3.2,1.0,0.0,Non-Leader,None
38,2,1,1,10+,1,3.9,3.94,4.0,1,,,,Leader,Job or Internship
39,2,2,1,7-9,1,3.6,3.4,4.0,1,,,,Leader,Job or Internship
40,2,1,2,1-3,0,,,,0,3.8,1.0,1.0,Non-Leader,None
41,1,2,1,10+,1,3.9,3.88,4.0,1,,,,Leader,Both
42,2,2,3,4-6,1,3.8,3.5,4.0,1,,,,Leader,None
43,1,1,1,7-9,1,3.56,3.48,3.0,1,,,,Leader,None
